,ID,CooX,CooY,CooZ,Date,Value
66,Caspana,581126.0,7529664.0,3260.0,1979-02-28,12.4
1604,Monturaqui,557103.126,7307450.25499999,3430.0,1979-02-28,14.1
1700,Peine,595137.0,7380682.0,2460.0,1979-02-28,19.2
2012,San_Pedro,581987.0,7466178.0,2450.0,1979-02-28,18.9
2172,Socaire,613092.0,7390963.0,3251.0,1979-02-28,12.4
67,Caspana,581126.0,7529664.0,3260.0,1979-03-31,12.2
1605,Monturaqui,557103.126,7307450.25499999,3430.0,1979-03-31,10.6
1701,Peine,595137.0,7380682.0,2460.0,1979-03-31,17.8
2013,San_Pedro,581987.0,7466178.0,2450.0,1979-03-31,18.3
2173,Socaire,613092.0,7390963.0,3251.0,1979-03-31,12.1
68,Caspana,581126.0,7529664.0,3260.0,1979-04-30,11.6
1606,Monturaqui,557103.126,7307450.25499999,3430.0,1979-04-30,7.3
1702,Peine,595137.0,7380682.0,2460.0,1979-04-30,16.7
2014,San_Pedro,581987.0,7466178.0,2450.0,1979-04-30,15.7
2174,Socaire,613092.0,7390963.0,3251.0,1979-04-30,10.6
69,Caspana,581126.0,7529664.0,3260.0,1979-05-31,8.2
1607,Monturaqui,557103.126,7307450.25499999,3430.0,1979-05-31,5.5
1703,Peine,595137.0,7380682.0,2460.0,1979-05-31,14.7
2015,San_Pedro,581987.0,7466178.0,2450.0,1979-05-31,13.7
2175,Socaire,613092.0,7390963.0,3251.0,1979-05-31,8.0
70,Caspana,581126.0,7529664.0,3260.0,1979-06-30,6.9
468,Chiu-Chiu,537415.0,7529707.0,2524.0,1979-06-30,9.0
1608,Monturaqui,557103.126,7307450.25499999,3430.0,1979-06-30,0.3
1704,Peine,595137.0,7380682.0,2460.0,1979-06-30,11.5
2016,San_Pedro,581987.0,7466178.0,2450.0,1979-06-30,9.5
2176,Socaire,613092.0,7390963.0,3251.0,1979-06-30,5.2
71,Caspana,581126.0,7529664.0,3260.0,1979-07-31,7.1
469,Chiu-Chiu,537415.0,7529707.0,2524.0,1979-07-31,9.6
1609,Monturaqui,557103.126,7307450.25499999,3430.0,1979-07-31,2.5
1705,Peine,595137.0,7380682.0,2460.0,1979-07-31,10.9
2017,San_Pedro,581987.0,7466178.0,2450.0,1979-07-31,9.5
2177,Socaire,613092.0,7390963.0,3251.0,1979-07-31,5.3
72,Caspana,581126.0,7529664.0,3260.0,1979-08-31,8.8
470,Chiu-Chiu,537415.0,7529707.0,2524.0,1979-08-31,11.4
1610,Monturaqui,557103.126,7307450.25499999,3430.0,1979-08-31,5.5
1706,Peine,595137.0,7380682.0,2460.0,1979-08-31,13.1
2018,San_Pedro,581987.0,7466178.0,2450.0,1979-08-31,11.4
2178,Socaire,613092.0,7390963.0,3251.0,1979-08-31,7.9
73,Caspana,581126.0,7529664.0,3260.0,1979-09-30,9.7
471,Chiu-Chiu,537415.0,7529707.0,2524.0,1979-09-30,12.0
1611,Monturaqui,557103.126,7307450.25499999,3430.0,1979-09-30,4.7
1707,Peine,595137.0,7380682.0,2460.0,1979-09-30,13.8
2019,San_Pedro,581987.0,7466178.0,2450.0,1979-09-30,12.3
2179,Socaire,613092.0,7390963.0,3251.0,1979-09-30,7.2
74,Caspana,581126.0,7529664.0,3260.0,1979-10-31,10.2
472,Chiu-Chiu,537415.0,7529707.0,2524.0,1979-10-31,14.6
1612,Monturaqui,557103.126,7307450.25499999,3430.0,1979-10-31,8.7
1708,Peine,595137.0,7380682.0,2460.0,1979-10-31,17.3
2020,San_Pedro,581987.0,7466178.0,2450.0,1979-10-31,16.7
2180,Socaire,613092.0,7390963.0,3251.0,1979-10-31,10.5
75,Caspana,581126.0,7529664.0,3260.0,1979-11-30,10.2
473,Chiu-Chiu,537415.0,7529707.0,2524.0,1979-11-30,15.5
1613,Monturaqui,557103.126,7307450.25499999,3430.0,1979-11-30,10.6
1709,Peine,595137.0,7380682.0,2460.0,1979-11-30,18.5
2021,San_Pedro,581987.0,7466178.0,2450.0,1979-11-30,17.1
2181,Socaire,613092.0,7390963.0,3251.0,1979-11-30,12.2
76,Caspana,581126.0,7529664.0,3260.0,1979-12-31,11.2
474,Chiu-Chiu,537415.0,7529707.0,2524.0,1979-12-31,16.1
1710,Peine,595137.0,7380682.0,2460.0,1979-12-31,18.4
2022,San_Pedro,581987.0,7466178.0,2450.0,1979-12-31,18.0
2182,Socaire,613092.0,7390963.0,3251.0,1979-12-31,13.5
77,Caspana,581126.0,7529664.0,3260.0,1980-01-31,10.7
475,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-01-31,15.6
1614,Monturaqui,557103.126,7307450.25499999,3430.0,1980-01-31,12.8
1711,Peine,595137.0,7380682.0,2460.0,1980-01-31,18.8
2023,San_Pedro,581987.0,7466178.0,2450.0,1980-01-31,18.4
78,Caspana,581126.0,7529664.0,3260.0,1980-02-29,10.6
476,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-02-29,14.4
1615,Monturaqui,557103.126,7307450.25499999,3430.0,1980-02-29,11.9
1712,Peine,595137.0,7380682.0,2460.0,1980-02-29,16.7
2024,San_Pedro,581987.0,7466178.0,2450.0,1980-02-29,17.9
79,Caspana,581126.0,7529664.0,3260.0,1980-03-31,10.6
477,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-03-31,14.7
1616,Monturaqui,557103.126,7307450.25499999,3430.0,1980-03-31,13.4
1713,Peine,595137.0,7380682.0,2460.0,1980-03-31,18.1
2025,San_Pedro,581987.0,7466178.0,2450.0,1980-03-31,18.5
80,Caspana,581126.0,7529664.0,3260.0,1980-04-30,9.9
478,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-04-30,12.3
1617,Monturaqui,557103.126,7307450.25499999,3430.0,1980-04-30,7.6
1714,Peine,595137.0,7380682.0,2460.0,1980-04-30,14.3
2026,San_Pedro,581987.0,7466178.0,2450.0,1980-04-30,15.0
81,Caspana,581126.0,7529664.0,3260.0,1980-05-31,6.8
479,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-05-31,11.0
1618,Monturaqui,557103.126,7307450.25499999,3430.0,1980-05-31,4.0
1715,Peine,595137.0,7380682.0,2460.0,1980-05-31,11.9
2027,San_Pedro,581987.0,7466178.0,2450.0,1980-05-31,11.9
82,Caspana,581126.0,7529664.0,3260.0,1980-06-30,5.7
480,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-06-30,10.7
1619,Monturaqui,557103.126,7307450.25499999,3430.0,1980-06-30,3.8
1716,Peine,595137.0,7380682.0,2460.0,1980-06-30,10.2
2028,San_Pedro,581987.0,7466178.0,2450.0,1980-06-30,10.4
83,Caspana,581126.0,7529664.0,3260.0,1980-07-31,6.4
481,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-07-31,9.8
1717,Peine,595137.0,7380682.0,2460.0,1980-07-31,10.7
2029,San_Pedro,581987.0,7466178.0,2450.0,1980-07-31,10.6
84,Caspana,581126.0,7529664.0,3260.0,1980-08-31,7.2
482,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-08-31,9.8
2030,San_Pedro,581987.0,7466178.0,2450.0,1980-08-31,12.2
85,Caspana,581126.0,7529664.0,3260.0,1980-09-30,7.2
483,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-09-30,11.4
2031,San_Pedro,581987.0,7466178.0,2450.0,1980-09-30,14.5
484,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-10-31,13.7
2032,San_Pedro,581987.0,7466178.0,2450.0,1980-10-31,16.8
485,Chiu-Chiu,537415.0,7529707.0,2524.0,1980-11-30,14.1
